"text","created_at","retweet_count","favorite_count","display_text_width"
"Over 100 million Americans voted before Election Day with a belief in our electoral process—trusting that their ballots would count. Now, Trump is trying to invalidate these ballots, and we need to fight back. Donate today to support the Biden Fight Fund. https://t.co/eXoncSsIG5",2020-11-06 01:58:47,2630,29707,279
"Despite the challenges facing us this year, a historic number of Americans have voted in this election. Their votes deserve to be counted.",2020-11-05 23:45:49,11038,155380,138
".@JoeBiden is right: we gotta keep the faith. We're going to win this.",2020-11-05 22:08:04,15198,244313,70
"Tune in as @JoeBiden gives remarks from Wilmington, Delaware. https://t.co/CMcSnQN5ig",2020-11-05 21:20:05,1598,18226,85
"The Biden Fight Fund will fund election protection efforts for our campaign and Democrats up and down the ballot. Add a donation of any amount today to support our efforts. https://t.co/IkJS5CIn8g",2020-11-05 17:30:10,2322,19816,196
"Tune in now as our campaign manager Jen O'Malley Dillon and campaign adviser Bob Bauer give an update on the state of the race. https://t.co/IVnzqCftMM",2020-11-05 16:14:27,1254,11695,151
"Every single vote must be counted.",2020-11-05 14:56:40,21728,297379,34
"Americans should have faith in the voting process and have the constitutional right to have their lawfully cast ballots counted. That simple proposition is a cornerstone of American democracy.",2020-11-05 03:03:22,14436,183004,192
"“No one’s going to take our democracy away from us, not now, not ever.” —@JoeBiden
https://t.co/1hFWxbQjfs",2020-11-05 02:42:52,6802,77434,106
".@JoeBiden and I are clear: every single vote must be counted.",2020-11-05 00:54:53,19990,300827,62
"No matter what Trump says, we must count every single vote. Donate to the Biden Fight Fund today to ensure we have the resources we need to fight to ensure this process remains fair. https://t.co/U4X9OiePJG",2020-11-04 23:44:16,4417,47980,206
".@JoeBiden will be a president for all Americans—not just the ones who voted for him. https://t.co/PkYbkYaWmk",2020-11-04 22:08:29,13913,183301,85
"This fight isn’t over. Every single vote must be counted. Tune in as @JoeBiden gives remarks from Delaware. https://t.co/W5h6Ip1p0N",2020-11-04 21:06:20,2588,30556,131
"As @JoeBiden said last night, it’s not up to us or Donald Trump to declare the winner of this election. The voters will decide.",2020-11-04 19:54:32,24304,294978,127
"Last night, Trump threatened to go to court to prevent all votes from being counted—but our campaign is prepared to fight back. Our work could stretch on for weeks, and we need your help. Can you donate $5 to the Biden Fight Fund today? 
https://t.co/oCecVTIbUT",2020-11-04 18:40:47,6774,49965,261
"This race isn’t over until every single ballot is counted.",2020-11-04 16:14:11,44113,499279,58
"Tune in live for an election protection briefing and an update on the state of the race with Jen O'Malley Dillon and Bob Bauer. https://t.co/n3AMw75Ctl",2020-11-04 15:11:52,1440,13766,151
"Tune in now as @JoeBiden gives remarks from Wilmington, Delaware. https://t.co/byNeF7pUDa",2020-11-04 05:40:47,1710,20494,89
"Stay in line.",2020-11-04 00:33:44,35168,298141,13
"If you are in line before the polls close, stay in line. If you are having trouble casting your ballot, call our voter protection hotline: 1 (833) 336-8683",2020-11-03 23:40:01,29337,140727,155
"Today I’m thinking about the ancestors who, in the face of injustice and danger, put their lives on the line and fought for their rights.

Honor their sacrifice by voting before polls close: https://t.co/VbrfuqVy9P",2020-11-03 23:02:09,3980,41399,214
"This is our time. Let’s use our vote, our power, to choose the America we can be—and the future our children and grandchildren deserve. 
https://t.co/oMZpXEo39h",2020-11-03 22:33:01,1644,16926,160
"Now is the time to stand up. 
Now is the time to speak out. 
Now is the time to vote.

Your voice is your power—don’t let anyone take it away.",2020-11-03 22:00:39,9569,94500,142
"The thing Donald Trump fears the most is not @JoeBiden or me. It’s the power of the people.

We need your help talking to more voters and reminding them to go vote today: https://t.co/UdLsAsky2K",2020-11-03 21:26:01,2290,18239,194
".@JoeBiden knows that no matter where we come from or where we live, no matter our race or gender, background or faith; no matter how we identify or who we love; no matter the language your grandmother speaks—what we have in common is so much stronger than what divides us.",2020-11-03 21:02:01,6100,55993,273
"<U+260E><U+FE0F> 1 (833) 336-8683 <U+260E><U+FE0F> 

If you have any questions or concerns about voting, call our hotline. Our team of volunteers are ready to assist you.",2020-11-03 20:32:01,8830,48912,142
"March with hope. Vote with joy. 

Find your polling location: https://t.co/VbrfuqVy9P https://t.co/0D5VHZWC6r",2020-11-03 19:59:05,1788,17429,85
"One day, our children and grandchildren are going to look us in the eye and ask what we did in this moment. 

And I want to be able to say, we did everything we could to fight for our country and their future. Go vote.",2020-11-03 19:30:11,17001,156901,218
"Standing in line to vote? Watch this. https://t.co/AT1zA4ey7F",2020-11-03 19:00:45,4297,22063,37
"The 2016 election was lost by small margins in a few key battleground states. We need your help to remind voters what’s at stake, and that their voice matters. Make calls today: 
https://t.co/UdLsAsky2K",2020-11-03 18:35:01,2738,21612,202
"Now is your chance to elect a leader who will:

<U+2705>Work to stop the virus
<U+2705>Defend reproductive rights
<U+2705>Build an economy that works for working people
<U+2705>Protect health care
<U+2705>Unite the nation

VOTE: https://t.co/VbrfuqVy9P",2020-11-03 18:02:01,1586,13143,217
"We cannot afford four more years of Donald Trump. https://t.co/PCEk0BAix4",2020-11-03 17:07:00,6249,47180,49
"Whether it’s bringing an end to the pandemic, building a fairer economy, or protecting people with pre-existing conditions, there’s so much at stake.

Reply to this tweet to tell me why you voted.",2020-11-03 16:17:01,6021,75904,196
".@JoeBiden and I come from different backgrounds, but we were raised with the same values:

Hard work. 
Honesty.
Decency. 

And these are the values I've seen as I've traveled across our country over the past 85 days. https://t.co/vSc90m3X7w",2020-11-03 15:44:52,3266,26709,217
"When @JoeBiden and I are in the White House we’ll listen to scientists, promote masks to save lives, implement nationwide testing and tracing, and ensure vaccines are free to all.",2020-11-03 15:04:01,15947,176120,179
"Today we must vote like our lives depend on it. Because they do. 

We must vote like our democracy depends on it. Because it does. 

And we must vote like justice, equality, and opportunity are possible. Because they are.",2020-11-03 14:12:59,27799,177796,221
"Don’t allow anything to come between you and your vote. If you have any questions or concerns about voting, reach out to our voter hotline.

<U+260E><U+FE0F> 1 (833) 336-8683",2020-11-03 13:01:01,20820,94990,160
"If you’ve already voted, thank you. But we still need your help. Take 20 minutes to help voters in critical battleground states find their polling location. This election is too important to leave anything to chance. 
https://t.co/Rl564rSmA6",2020-11-03 12:02:01,2140,14718,241
"Election Day is here, and polling places across the country are starting to open. Mask up and find your polling place at https://t.co/VbrfuqVy9P.",2020-11-03 11:01:01,8418,69293,145
"Take a breath. Set your alarm. Try to get a good night’s rest.

We got this. https://t.co/cJOFd81rW4",2020-11-03 04:11:01,26661,310553,76
"Thank you for joining us tonight, @JohnLegend, and using your voice to make a difference in this election. https://t.co/a8HaRRm746",2020-11-03 03:33:00,2691,27192,106
"Janet is one of the many grassroots donors who make this campaign possible. She also voted early to turn Texas blue.

Tomorrow, let’s join Janet by hitting the polls and making history. https://t.co/VD2io2Fzxn",2020-11-03 02:48:30,1626,16275,185
"Your vote is your voice, and your voice is your power.

Don’t let anyone take away your power. 
Now is the time to stand up. 
Now is the time to speak out. 

And now is the time to VOTE.",2020-11-03 01:44:46,13440,96849,186
"The first thing @JoeBiden and I will do in the White House is get this virus under control.",2020-11-03 01:39:54,15841,184450,91
"Nine months into this pandemic and the current occupant of the White House still doesn’t have a plan to contain it.

Instead, he's in court trying to end the Affordable Care Act and tear health coverage away from over 20M Americans.",2020-11-03 01:36:04,5178,36821,232
"Our health, our economy, our children's futures, even what kind of country we want to be is all on the line—and the decision we make in this election will be felt for generations.",2020-11-03 01:33:37,3820,33486,179
"Tomorrow will be a turning point. A chance to unite as a country. That’s why we’re holding our biggest virtual rally featuring me, @DouglasEmhoff, @DrBiden &amp; your next president: @JoeBiden. Tune in. https://t.co/l96tNjPqeg",2020-11-03 00:31:48,2575,16554,226
"Thank you to all the poll workers and @USPS employees who have worked tirelessly this election season.

In the face of adversity, you make our democracy possible.",2020-11-02 23:33:01,10044,92884,162
"Black women hold the power in this election. We need to do everything we can to get our families, our neighbors, our communities to the polls. Now is our time.
https://t.co/PrMS9MoSlF",2020-11-02 22:29:48,4409,35725,183
"Donald Trump wants you to deny reality. To pretend that, during a global pandemic, you don’t see the bills piling up or the empty chair where a loved one used to sit. 

The only thing we’re going to deny is his chance at a second term.",2020-11-02 21:02:02,9980,70509,235
"When this is all over, future generations will ask you what you did to help end the division and chaos of the last four years. Tell them you worked your heart out to make Donald Trump a one-term president. Help us win by making calls to voters now: https://t.co/UdLsAsky2K",2020-11-02 19:26:18,1606,10899,272
"It’s our last day to get out the vote before the election. That’s why I’m in Bethlehem, PA for a drive-in rally with the voters and volunteers who are going to help win this battleground state. https://t.co/9uOcc3mfLA",2020-11-02 18:34:07,1519,10428,217
"Why are YOU voting? https://t.co/s1AASMOQEt",2020-11-02 17:01:13,2493,14835,19
"This is it! We’re kicking off our last tour of Pennsylvania before the most important election of our lives. The people here are ready to choose unity over division. Tune in. https://t.co/Mvr7BeJaBH",2020-11-02 16:16:58,1711,11497,198
"With only one day left until Election Day, @JoeBiden, @DrBiden, @DouglasEmhoff, and I are hitting the road across Pennsylvania. Let’s get this done.",2020-11-02 14:59:27,7004,72429,148
"Georgia and North Carolina—thanks for having me back today. Let’s make history on Tuesday. https://t.co/KDXEuPQUMW",2020-11-02 03:37:01,3863,45702,90
"You asked, I answered. https://t.co/KQgSxB58Ch",2020-11-02 02:21:24,4500,32125,22
"So grateful that @AliciaKeys joined me on the campaign trail in Arizona. As she shared with the crowd, changing the status quo is hard work but it’s a fight worth having—for the soul of our nation. https://t.co/h859yO8mmm",2020-11-02 01:31:40,3736,26506,197
"When we vote, when our parents vote, when our aunties and uncles, our friends, and neighbors vote—we win. Fayetteville, I’m so excited to join you in getting out the vote tonight. Tune in live. https://t.co/OzbFGhmLWT",2020-11-01 23:44:28,1514,10132,217
"Many people have asked now that they’ve voted, what can they do to help in the home stretch of this campaign? 

The answer is simple: we need you to call voters in critical battleground states and remind them to vote. Sign up for a shift today: https://t.co/xBoynqo8Xc",2020-11-01 23:15:57,2569,14264,268
"When the stakes are this high, it’s not enough to just vote. We need to reach out to the people in our lives and make sure they join us. North Carolina is ready. Are you? Tune in. https://t.co/hNOmTMUZjr",2020-11-01 21:41:30,1180,7153,203
"Last week in Nevada, I caught up with my friend @Astrid_NV, to discuss the Biden-Harris plan for immigration reform and how Dreamers can make a difference in this election.

If you're eligible to vote, show up at the ballot box for those who can't: https://t.co/VbrfuqVy9P. https://t.co/knU2qFSYmn",2020-11-01 21:39:00,1070,6210,273
"Future generations deserve clear air, safe rivers, and a livable planet that we can pass down.

@JoeBiden and I will listen to the scientists, transform our energy sector, and create millions of jobs in the process.",2020-11-01 20:45:02,7624,62372,215
"I met Shaiyla when I was overseas in Afghanistan, spending time with our service members. It was an honor to meet her mother in Ohio last week. https://t.co/7TZQW9uXlA",2020-11-01 19:02:46,2094,17540,143
