"text","created_at","retweet_count","favorite_count","display_text_width"
"Twitter is out of control, made possible through the government gift of Section 230!",2020-11-06 07:23:33,51941,275484,84
"I easily WIN the Presidency of the United States with LEGAL VOTES CAST. The OBSERVERS were not allowed, in any way, shape, or form, to do their job and therefore, votes accepted during this period must be determined to be ILLEGAL VOTES. U.S. Supreme Court should decide!",2020-11-06 07:22:47,0,0,270
"So now the Democrats are working to gain control of the U.S. Senate through their actions on John James, David Perdue, and more. Would End the Filibuster, “Life”, 2A, and would Pack and Rotate the Court. Presidency becomes even more important. We will win!",2020-11-06 07:20:19,38942,191015,256
"https://t.co/11BmRoMKa3",2020-11-06 02:38:49,0,0,23
"https://t.co/U4x4etE097",2020-11-06 02:38:43,0,0,23
"https://t.co/ityeypdGDi",2020-11-06 02:38:34,26763,134737,23
"https://t.co/HhiK6eDVds",2020-11-06 02:38:01,0,0,23
"News Conference at 6:30 P.M.",2020-11-05 23:26:07,38914,343906,28
"STOP THE FRAUD!",2020-11-05 17:21:45,0,0,15
"All of the recent Biden claimed States will be legally challenged by us for Voter Fraud and State Election Fraud. Plenty of proof - just check out the Media. WE WILL WIN! America First!",2020-11-05 16:22:46,0,0,185
"Big legal win in Pennsylvania!",2020-11-05 16:07:27,83257,636370,30
"Jobless Claims Dip to 751,000, Lowest Since March https://t.co/dzuJpS78nb via @BreitbartNews",2020-11-05 15:38:45,23046,130361,92
"Fmr NV AG Laxalt: ‘No Question‘ Trump Would Have Won Nevada ‘Convincingly‘ Without Mail-in Voting https://t.co/pm4Wpfr6x0 via @BreitbartNews",2020-11-05 15:37:40,26328,116596,140
"ANY VOTE THAT CAME IN AFTER ELECTION DAY WILL NOT BE COUNTED!",2020-11-05 15:09:19,0,0,61
"STOP THE COUNT!",2020-11-05 14:12:37,116325,707785,15
"Detroit Absentee Ballot Counting Chaos, Blocked Windows and Observers https://t.co/KzIwhbQrDt via @BreitbartNews",2020-11-05 00:01:07,70850,246560,112
"Demands Arise for PA Attorney General to ‘Step Aside‘ https://t.co/jrED09zpK1 via @BreitbartNews",2020-11-05 00:00:05,43981,170074,96
"Our lawyers have asked for “meaningful access”, but what good does that do? The damage has already been done to the integrity of our system, and to the Presidential Election itself. This is what should be discussed!",2020-11-04 23:24:59,91709,530766,215
".....there was a large number of secretly dumped ballots as has been widely reported!",2020-11-04 21:56:11,0,0,85
"We have claimed, for Electoral Vote purposes, the Commonwealth of Pennsylvania (which won’t allow legal observers) the State of Georgia, and the State of North Carolina, each one of which has a BIG Trump lead. Additionally, we hereby claim the State of Michigan if, in fact,.....",2020-11-04 21:56:10,74383,353182,279
"We are winning Pennsylvania big, but the PA Secretary of State just announced that there are “Millions of ballots left to be counted.”",2020-11-04 18:52:32,63696,388819,134
"Wow! It looks like Michigan has now found the ballots necessary to keep a wonderful young man, John James, out of the U.S. Senate. What a terrible thing is happening!",2020-11-04 18:43:43,77508,418193,166
"They are working hard to make up 500,000 vote advantage in Pennsylvania disappear — ASAP. Likewise, Michigan and others!",2020-11-04 17:01:15,0,0,120
"They are finding Biden votes all over the place — in Pennsylvania, Wisconsin, and Michigan. So bad for our Country!",2020-11-04 16:55:31,102757,625631,115
