"text","created_at","retweet_count","favorite_count","display_text_width"
"Such a Blessing to be at Alliance Bible Fellowship for Sunday Worship Service this morning in North Carolina with @Franklin_Graham. It was a Joy to be back in Church! Thank you to Pastor Andrews &amp; Everyone for their warm welcome &amp; prayers! America is a Nation of Faith! <U+0001F1FA><U+0001F1F8> https://t.co/xUX0gemjAe",2020-11-01 17:38:13,3578,0,140
"""This is a momentous day for America, for the United States Constitution, and for the fair and impartial rule of law."" https://t.co/njWaXWjGhp",2020-10-27 01:20:40,2878,0,140
"Thank You to @senatemajldr and all of the 52 @SenateGOP for Voting to Confirm the Nomination of Amy Coney Barrett of Indiana to @Scotus! Great Vote! Great Day for America! <U+0001F1FA><U+0001F1F8> https://t.co/CkCYAnmpXh",2020-10-27 00:42:02,5032,0,140
"https://t.co/ycGvypcqGK",2020-10-24 02:40:24,1366,0,39
"Today we remember the 241 brave Americans lost in the Marine Barracks bombing in Beirut. We will never forget or fail to honor the sacrifice those men made 37 years ago. May God bless our beloved fallen and may God bless and comfort their families on this day.",2020-10-24 02:40:19,3984,0,140
"Karen &amp; I send our deepest sympathies to his wife Millie and pray  for God’s comfort for her, the entire Hallow family and all who loved &amp; admired this good man. God bless the memory of Ralph Hallow. https://t.co/6N2TeO6sXq",2020-10-20 13:41:09,480,0,143
"With the passing of Ralph Hallow, our Country lost a Giant of American Journalism and I lost a friend. Ralph spent his life in pursuit of the truth and defending Freedom and he will be Greatly missed...",2020-10-20 13:41:01,899,0,140
"Today we celebrate 245 years of our incredible @USNavy! Our Nation is grateful to the sailors currently serving and to all those who have served this Country with honor, courage, and commitment at home and around the world. #Navy245 https://t.co/kzx0IsZVP4",2020-10-14 17:56:22,1764,0,139
"Happy Columbus Day! https://t.co/GmHtiHmYRQ https://t.co/3RG30EToTx",2020-10-12 14:27:08,1789,0,83
"The Senate Must Confirm Judge Amy Coney Barrett. <U+0001F1FA><U+0001F1F8>",2020-10-12 13:01:12,19169,0,67
"I will be leaving the great Walter Reed Medical Center today at 6:30 P.M. Feeling really good! Don’t be afraid of Covid. Don’t let it dominate your life. We have developed, under the Trump Administration, some really great drugs &amp; knowledge. I feel better than I did 20 years ago!",2020-10-05 19:03:31,129073,0,140
"https://t.co/1vHioH5MBL",2020-10-05 19:03:23,3991,0,39
"https://t.co/gvIPuYtTZG",2020-10-05 19:03:19,144430,0,44
"WH Task Force met today. Working around the clock to expand Testing, PPE, Therapeutics &amp; expect to have a Vaccine by end of 2020. Grateful for the prayers for President @realDonaldTrump, @FLOTUS &amp; EVERY American family dealing with COVID-19. We Will Get Through This Together!<U+0001F1FA><U+0001F1F8>",2020-10-05 19:03:17,9417,0,144
"Doctors, Nurses and ALL at the GREAT Walter Reed Medical Center, and others from likewise incredible institutions who have joined them, are AMAZING!!!Tremendous progress has been made over the last 6 months in fighting this PLAGUE. With their help, I am feeling well!",2020-10-05 19:03:15,99106,0,139
"President @realDonaldTrump “doing very well” at @WRBethesda and @FLOTUS “doing great” convalescing at home. Grateful to God and the incredible medical team  caring for our friends. Keep those prayers coming America!",2020-10-05 19:03:14,13642,0,140
"https://t.co/V1NGLeDl0U",2020-10-05 19:03:12,4047,0,39
"Going welI, I think! Thank you to all. LOVE!!!",2020-10-03 09:22:46,138141,0,67
"Karen and I send our love and prayers to our dear friends President @realDonaldTrump and @FLOTUS Melania Trump. We join millions across America praying for their full and swift recovery. God bless you President Trump &amp; our wonderful First Lady Melania.",2020-10-02 12:19:23,26472,0,140
"America is a freedom loving Nation and America is a Nation of Faith! <U+0001F1FA><U+0001F1F8> https://t.co/f4XymPnoI3",2020-10-01 23:39:52,2014,0,111
"From day one, this President has stood strong for the first freedom of every American—religious freedom. President @realDonaldTrump believes freedom of speech shouldn’t end at the front door of our churches and houses of worship, so he stopped enforcing the Johnson Amendment! https://t.co/M0NhrRFRWI",2020-10-01 23:39:50,1094,0,140
"To @bobvanderplaats and the great patriots of @theFAMiLYLEADER, it was great to be in Des Moines today! With the continued support, prayers, and enthusiasm of people of Faith across this Country, we’re going to make Iowa and America stronger than ever before! https://t.co/nQkr80B6Xx",2020-10-01 23:39:48,482,0,139
"The American people deserve a Justice like Judge Amy Coney Barrett and the American people deserve 9 Justices on the Supreme Court. https://t.co/tnx8x0Qkz9",2020-09-29 17:03:19,4253,0,140
"Honored to accompany Judge Amy Coney Barrett to the United States Senate today to meet with @senatemajldr. Judge Barrett is a Principled Conservative who reveres the Constitution and will serve with distinction and integrity on the Supreme Court. #ConfirmACB https://t.co/qFwEP6dRky",2020-09-29 17:03:17,1793,0,140
"In Judge Amy Coney Barrett we have someone of great character and great intellect who has a judicial philosophy that will uphold the Constitution of the United States. Judge Barrett represents the best of America. https://t.co/TiijzM4iIP",2020-09-29 14:39:51,3103,0,140
"Wishing a meaningful and easy fast to those observing #YomKippur. G‘mar Chatimah Tovah. https://t.co/jNEBp6EukI",2020-09-27 20:48:23,671,0,127
"Today and every day, we honor the memory of every lost Soldier, Sailor, Airman, Marine &amp; Coast Guardsman and we humbly grieve with their families who persevere with remarkable courage, strength &amp; grace.

Proclamation on Gold Star Mother’s and Family’s Day: https://t.co/WrqgZrxtey",2020-09-27 20:48:19,2394,0,144
